240|826 RED CONSOLIDADO|11|11|12|71|0|30|12|17|240|0|30|1|0|0|3|1|1|2|2|2|0|-2|-2|30|-1|2|-1|1|-1|||||||||||||
241|827 CONSOLIDADOs|11|11|12|72|0|NA|11|17|241|0|30|1|0|0|3|1|1|-1|-1|-1|0|-2|-2|30|-1|2|-1|1|-1|||||||||||||
242|52 PCS RED 50s|12|11|12|100|50|20|12|11|242|1|40|1|0|0|3|1|1|2|2|2|0|-2|-2|30|24|2|-1|1|-1|||||||||||||
245|317 ECORP RED PCS s|12|11|12|80|240|20|12|13|245|1|40|1|0|0|3|1|1|2|2|2|0|-2|-2|30|24|2|-1|1|-1|0||||||||||||
246|318 ECORP RED PCS s|12|11|12|86|400|10|12|15|246|1|40|1|0|0|3|1|1|2|2|2|0|-2|-2|30|-1|2|-1|1|-1|||||||||||||
247|54 PLAN JOVEN|12|11|12|100|85|20|12|11|247|1|40|1|0|0|3|1|1|2|2|2|0|-2|-2|30|24|2|-1|1|-1|||||||||||||
250|Plan CC Demo|12|13|12|74|-2|20|12|16|250|0|10|1|0|0|3|1|1|2|2|2|0|-2|-2|30|25|2|-1|1|-1|||||||||||||
251|Z_NoUso_828 RPV CPP|11|11|12|71|0|NA|12|17|251|0|30|1|0|0|3|1|-1|-1|-1|-1|0|-2|-2|30|-1|-2|-1|-2|-1|||||||||||||
252|55 PCS 1600 s|12|11|12|87|1600|NA|11|15|252|1|40|1|0|0|3|1|-1|-1|-1|-1|0|-2|-2|30|-1|-2|-1|-2|-1|||||||||||||
254|Z_NoUso_57 RED PCS 180 s|12|11|12|77|180|NA|12|12|254|1|40|1|0|0|3|1|-1|-1|-1|-1|0|-2|-2|30|-1|-2|-1|-2|-1|||||||||||||
255|58 PCS 330s|12|11|12|84|330|10|11|14|255|1|40|1|0|0|3|1|1|1|2|2|0|-2|-2|30|23|2|-1|1|-1|0||||||||||||
257|FB100 Fact Diferen 100|11|11|12|72|100|30|11|17|257|0|40|1|0|0|3|1|1|1|2|2|0|-2|-2|30|25|2|-1|1|-1|||||||||||||
258|FB200 FACT DIFEREN 200|11|11|12|72|200|30|11|17|258|0|40|1|0|0|3|1|1|1|2|2|0|-2|-2|30|24|2|-1|1|-1|||||||||||||
260|PCS RF 200 s|12|11|12|80|200|NA|12|13|260|1|40|1|0|0|3|1|-1|-1|-1|-1|0|-2|-2|30|-1|-2|-1|-2|-1|||||||||||||
261|FB250 FACT DIFEREN 250|11|11|12|72|250|30|11|17|261|0|40|1|0|0|3|1|1|1|2|2|0|-2|-2|30|25|2|-1|1|-1|||||||||||||
263|FB800 Fact Diferen 800|11|11|12|72|800|30|11|17|263|0|40|1|0|0|3|1|1|1|2|2|0|-2|-2|30|25|2|-1|1|-1|||||||||||||
264|61 RED PCS 0s|12|11|12|74|0|20|12|10|264|1|40|1|0|0|3|1|1|2|2|2|0|-2|-2|30|25|2|-1|1|-1|||||||||||||
265|BP09 Beneficio al Personal s|12|11|12|77|120|20|12|12|265|1|40|1|0|0|3|1|1|2|2|2|0|-2|-2|30|24|2|-1|1|-1|||||||||||||
267|BP11 Beneficio al Personal s|12|11|12|86|400|10|12|15|267|1|40|1|0|0|3|1|1|2|2|2|0|-2|-2|30|23|2|-1|1|-1|||||||||||||
270|PLAN CC CUADRANTE|12|13|12|105|-2|NA|11|16|270|0|10|1|0|0|3|1|-1|-1|-1|-1|0|-2|-2|30|-1|-2|-1|-2|-1|||||||||||||
272|470 RED PCS 120s|11|11|12|71|120|20|12|17|272|1|40|1|0|0|3|1|1|2|2|2|0|-2|-2|30|-1|2|-1|1|-1|||||||||||||
274|472 RED PCS 280s|11|11|12|71|280|30|12|17|274|1|40|1|0|0|3|1|1|2|2|2|0|-2|-2|30|-1|2|-1|1|-1|||||||||||||
276|474 RED PCS 540s|11|11|12|71|540|10|12|17|276|1|40|1|0|0|3|1|1|2|2|2|0|-2|-2|30|23|2|-1|1|-1|||||||||||||
277|830 RED CONSOLIDADOs|11|11|12|71|0|30|12|17|277|0|30|1|0|0|3|1|1|2|2|2|0|-2|-2|30|-1|2|-1|1|-1|||||||||||||
281|64 PCS RED 80s DOBLE|12|11|12|100|80|NA|12|11|281|1|-1|1|0|0|3|1|-1|-1|-1|-1|0|-2|-2|30|-1|-2|-1|-2|-1|||||||||||||
282|65 PCS RED 120s DOBLE|12|11|12|77|120|NA|12|12|282|1|-1|1|0|0|3|1|-1|-1|-1|-1|0|-2|-2|30|-1|-2|-1|-2|-1|||||||||||||
284|67 PCS RED 280s DOBLE|12|11|12|83|280|NA|12|14|284|1|-1|1|0|0|3|1|-1|-1|-1|-1|0|-2|-2|30|-1|-2|-1|-2|-1|||||||||||||
285|831 RED CONSOLIDADOs|11|11|12|71|-2|30|12|17|285|0|30|1|0|0|3|1|1|2|2|2|0|-2|-2|30|-1|2|-1|1|-1|||||||||||||
287|453 Plan Optimizacion CPP|11|11|12|71|-2|20|12|17|287|1|20|1|0|0|3|1|1|2|2|2|0|-2|-2|30|24|2|-1|1|-1|||||||||||||
2975|564 BAM ILIM ZONA 700kbps EMP|11|11|12|72|0|NA|11|17|987|1|40|-2|1|1|1|1|3|-1|-1|-1|0|-2|-2|30|-1|-2|44|-2|-1|||||||||||||
2977|510 ADT RESPALDO 10KB|11|11|12|72|0|73|11|17|988|1|40|-2|0|0|-1|1|2|-2|-2|-2|0|-2|-2|30|-1|-2|25|-2|-1|||||||||||||
2979|511 ADT RESPALD0 100KB|11|11|12|72|0|NA|11|17|989|1|40|-2|0|0|-1|1|2|-1|-1|-1|0|-2|-2|30|-1|-2|25|-2|-1|||||||||||||
2981|512 ADT RESPALD0 200KB|11|11|12|72|0|NA|11|17|990|1|40|-2|0|0|-1|1|2|-1|-1|-1|0|-2|-2|30|-1|-2|25|-2|-1|||||||||||||
2983|654 CC 7000 RETENCION|11|13|12|108|-2|20|11|18|991|1|10|1|0|0|-1|1|1|1|2|2|0|-2|-2|30|25|2|50|1|17|0||||||||||||
2985|669 CC 9000 RETENCION|11|13|12|108|-2|20|11|18|992|1|10|1|0|0|-1|1|1|1|2|2|0|-2|-2|30|24|2|-1|1|17|||||||||||||
2987|681 CC 11500 RETENCION|11|13|12|108|-2|20|11|18|993|1|10|1|0|0|-1|1|1|1|2|2|0|-2|-2|30|25|2|-1|1|17|0||||||||||||
2989|698 CC 14500 RETENCION|11|13|12|108|-2|30|11|18|994|1|10|1|0|0|-1|1|1|1|2|2|0|-2|-2|30|24|2|-1|1|17|||||||||||||
2991|699 CC 17500 RETENCION|11|13|12|108|-2|30|11|18|995|1|10|1|0|0|-1|1|1|1|2|2|0|-2|-2|30|24|2|-1|1|17|0||||||||||||
1374|PP BAM|12|12|12|114|-2|NA|11|-2|187|-2|-2|-2|1|1|-1|1|3|-2|-2|-2|0|-2|-2|30|-2|-2|44|-2|4|||||||||||||
1707|80 Plus 480s|12|11|12|86|480|10|12|15|353|1|40|1|0|0|-1|1|1|1|2|2|0|-2|-2|30|23|2|50|1|17|0||||||||||||
2817|637 MI Empresa SGO|11|11|12|71|0|20|12|17|908|1|40|1|0|0|-1|1|1|2|1|1|0|-2|-2|30|21|2|50|1|17|||||||||||||
2935|Plan Mobile Cam|12|11|-2|-2|-2|75|-2|-2|967|1|40|2|0|0|-1|1|2|-2|-2|-2|0|-2|-2|30|-1|-2|25|-2|14|||||||||||||
3027|732 CC PLANO 17500|12|13|12|105|-2|30|11|16|1013|1|10|1|0|0|-1|1|1|1|2|2|0|-2|-2|30|24|2|50|1|17|0||||||||||||
3029|733 CC PLANO 22500|12|13|12|105|-2|10|11|16|1014|1|10|1|0|0|-1|1|1|1|2|2|0|-2|-2|30|23|2|50|1|17|0||||||||||||
1406|730 CC PLANO 12990|12|13|12|105|-2|20|11|16|203|1|10|1|0|0|-1|1|1|1|2|2|0|-2|-2|30|-1|2|-1|1|-1|||||||||||||
1408|731 CC PLANO 14990|12|13|12|105|-2|30|11|16|204|1|10|1|0|0|-1|1|1|1|2|2|0|-2|-2|30|-1|2|-1|1|-1|||||||||||||
1412|733 CC PLANO 22500|12|13|12|105|-2|10|11|16|206|1|10|1|0|0|-1|1|1|1|2|2|0|-2|-2|30|-1|2|-1|1|-1|||||||||||||
1414|734 CC PLANO 28000|12|13|12|105|-2|10|11|16|207|1|10|1|0|0|-1|1|1|1|2|2|0|-2|-2|30|-1|2|-1|1|-1|||||||||||||
3007|721 Tarifa Unica 100 + 100 SMS|12|11|12|78|100|30|11|12|1003|1|40|1|0|0|-1|1|1|1|2|2|0|-2|-2|30|24|2|50|1|17|0||||||||||||
3009|722 Tarifa Unica 170|12|11|12|78|170|30|11|12|1004|1|40|2|0|0|-1|1|1|1|2|2|0|-2|-2|30|24|2|50|1|17|0||||||||||||
3011|723 Tarifa Unica 280|12|11|12|81|260|10|11|13|1005|1|40|1|0|0|-1|1|1|1|2|2|0|-2|-2|30|23|2|50|1|17|0||||||||||||
3047|734 Familia Ilimitado 2|12|11|12|81|240|30|11|13|1023|1|40|1|0|0|-1|1|1|2|2|2|0|-2|-2|30|24|2|-1|1|17|0||||||||||||
3049|735 Familia Ilimitado 3|12|11|12|84|350|30|11|14|1024|1|40|1|0|0|-1|1|1|2|2|2|0|-2|-2|30|24|2|-1|1|17|0||||||||||||
3053|737 Familia Ilimitado 5|12|11|12|87|550|20|11|15|1026|1|40|1|0|0|-1|1|1|2|2|2|0|-2|-2|30|24|2|-1|1|17|0||||||||||||
3057|739 Familia Ilimitado 7|12|11|12|87|770|20|11|15|1028|1|40|1|0|0|-1|1|1|2|2|2|0|-2|-2|30|24|2|-1|1|17|0||||||||||||
3061|903 Plan Minutos PRO|11|11|12|72|700|10|11|17|1030|1|40|1|0|0|-1|1|1|1|2|2|0|-2|-2|30|21|2|-1|1|-1|||||||||||||
3021|288 MI PRIMER PLAN FLAT 9990|12|13|12|105|-2|40|11|16|1010|1|10|1|0|0|-1|1|1|1|2|2|0|-2|-2|30|25|2|-1|1|17|0||||||||||||
3043|835 RED RET 60|12|11|12|71|60|20|12|17|1021|1|40|1|0|0|-1|1|1|2|2|2|0|-2|-2|30|24|2|-1|1|17|||||||||||||
