U02672|UHO384
U02667|UDD092
U06461|UGE646
U06436|UGE643
U06401|UGE640
U06368|UHH941
U06350|UAM625
U06334|UGE633
U06319|UTS238
U06192|UGA619
U06138|UHF256
U06115|UGA611
U06010|UAM623
U05931|UGE654
U05887|UGE872
U05884|UGA588
U05879|UTS193
U05797|NI
U05733|UGA573
U05576|UGD383
U05516|UGA551
U05504|UDF550
U05428|UHF989
U05418|UHF608
U05390|UEV103
U05328|UHF062
U02573|UGA257
P44359|XAS194
U05225|UGD136
U05084|UDF508
U04965|XZU011
U04930|UZL374
U04928|UTS090
U04857|UNC831
U02520|UZL376
U04829|UDL835
U04653|UHC058
U04597|UHH471
U04492|UGA449
U04486|UTS448
U02447|UDI517
U02277|UDO331
U02032|UGA203
U02004|UGA200
P43547|MAN745
U01907|UDO474
U01881|UGA188
U01854|UDA146
U01843|UDA117
U01625|UGA162
P43272|XVR034
U01543|UGA154
U01392|UGA139
U01364|UGA136
U01358|UDE747
P44205|MMA396
P43947|MRS394
U01172|UDK117
U01129|UDD036
U00985|UGA098
U00959|UDO592
U00860|UEV189
P43747|MAS471
U00739|UGA132
U00676|UDD210
U00617|UGD157
U00581|UGD058
U00545|UGA054
U00513|UHP051
U00483|UDD048
U00466|UGA046
U00373|UGA037
U00334|UDD035
U00200|NI
U00195|UGA019
U00194|UGA019
U00155|UGA015
U00146|UDM014
U00117|UGD313
U00108|UGA929
TRM919I|TRM919
TRM917C|TRM917
P44945|MRS494
P64389|XZM506
P63873|MSA180
P63782|MRS513
P63666|MVR284
P63628|XCC362
P44559|XRV455
U03225|UDL322
U03182|UGE318
U03064|UHK320
U02837|UDM542
P49815|MRS981
P49367|XZN005
P49349|XAS191
P49334|MSA503
P49261|MZL274
P49091|MZS176
P48481|MFS848
P48360|MZO019
P48199|XAS355
P48051|MFS805
P48007|MAS518
P40787|MEV207
P47021|MFS702
P46928|MFN482
P46358|MLA054
P45567|MRS556
P17431|MFN743
P61669|MZM765
P61358|XCO874
P60727|XZM515
P60266|XZV103
P59388|XZL601
P59209|XZM153
P58911|XRM753
P57827|XZS000
P57340|MAM157
P57262|MSA173
P56997|XRV007
P56477|MRM647
P56408|XCO522
P56338|MRM633
P55967|MBI160
P55189|MZB582
P55138|MZE175
P54554|MRM455
P40567|MRS056
P54153|MCC043
P53449|MRA344
P53439|MAT948
P53167|XRM316
P52750|MZM973
P52550|MZL138
P52305|MAS338
P40298|MRS029
P52028|MSA113
P52003|XPM021
P51893|MSA799
P51793|MSA427
P40139|MZA307
P39858|MMA985
P39135|XBI913
P38082|XVR044
P36138|MBI613
P36097|XPP002
P35927|MRM431
P35543|MLA554
P34375|XLA437
P31458|MRV013
P30217|MTA118
P29750|MRM025
P29537|XZO530
P28411|MSA083
P28137|MRA345
P27957|MSA795
P27770|MAM862
C36273|CMA627
P26779|XSA677
P26540|MZM442
P26451|MBI624
P26067|MSA606
P25919|XSA591
P25489|MSA548
P25133|MZM520
P25034|MSA503
P22761|XZB307
P21704|MSA170
P20998|XZV399
P19740|MZL047
P18511|XZM627
P18389|MVR000
P18061|MAT211
P17909|MZE232
P17636|MBI872
C38613|CLA861
P43118|MZL037
P43004|MRV300
P42228|XAM923
P41908|MAS054
P41897|XZL575
B25935|BOH593
B24612|BSA461
B24185|BSA418
B13748|BZV018
B13175|BTA317
41482|RS148
41421|RS142
41064|RO106
41031|RS103
40292|RS029
12514|TA251
12302|TA230
12186|AN218
11824|AN182
11676|TA167
11425|AN142
B11008|BPP007
B07102|BSA710
B06218|BMA629
B04422|BOH333
B04412|BOH102
B04308|BMA302
B02078|BAT305
B01508|BTA067
B01168|BAT461
39824|MA982
39764|LA976
39255|LA925
38875|MG887
38836|BI883
38710|AM017
38566|LA856
38374|MA837
10874|TA087
10684|TA068
10676|TA067
10505|AT050
10354|AN035
10273|ZE037
9342|ST934
9123|RV425
B01012|BRM101
A62377|AZV018
A62104|APM210
A59084|ARM908
A57704|ARA770
A57651|ALS765
A57481|ALS748
A56911|AVR691
A56584|ARM658
A56097|ARM609
A55364|AVR536
38176|BI817
38145|BI814
37774|AR777
37485|BI748
37465|BI746
37015|BI701
37006|LA700
36935|BI693
36694|MA669
36586|AR658
36486|BI648
3803|ZC091
3542|ZE087
2583|ZU003
1901|ZM211
1552|ZM030
1343|ZL037
1182|ZL008
A51384|ARA138
A45014|ARS501
A43184|ARS318
A42894|AMA172
A39844|AAR984
A38397|AAT143
A36381|ABI638
36316|MA631
36114|LA611
36035|BI603
35606|AR560
35415|LA541
34844|BI484
34685|LA468
A32687|ATA088
A26781|ASA678
A26541|ASA654
34004|LA400
33725|AR372
33455|MA345
33424|MA342
33395|BI339
33384|MA338
A21871|ASA187
A20934|ASA093
A20694|AVA069
A12071|AAN207
A11701|ATA170
A09071|ARM907
A06177|AMA298
32554|MA255
32325|LA232
32194|AI219
32144|AI214
31934|LA193
31686|BI168
31464|LA146
31215|MA121
A05257|ARA138
A04257|ARA111
A01281|ALS328
63904|CC390
30725|BI072
30514|LA051
30175|AR017
30074|MA007
29662|VA966
29272|SA927
29042|SA904
62776|TE277
61744|TL174
27522|VA752
27241|SA724
60404|PM040
60395|TE039
59471|RM947
26643|SA664
26342|SA634
26033|SA603
25843|SA584
25831|SA583
25793|SA579
25621|SA562
25383|VA538
59053|RM905
57842|RM784
57765|RA776
57684|LS768
57623|LS762
57451|RM745
57403|RM740
57362|RM736
24925|OH492
24753|SA475
24641|SA464
24043|SA404
23843|SA384
23662|SA366
23336|OH333
23334|OH333
57023|VR702
56810|ZB186
56543|RM654
56533|RM653
56162|VR616
55641|VR564
21682|SA168
21523|SA152
21431|SA143
21341|SA134
C32753|CMA275
C24233|CSA423
55301|RM530
54921|RM492
54010|AM001
53221|RM322
52732|VR273
21123|VA112
20942|SA094
20862|SA086
20843|SA084
20173|SA017
20130|AM162
20022|SA002
19854|AT985
C20183|CSA018
C12506|CTA250
C12053|CAN205
C11403|CCC263
C10529|CZM184
C09043|CSA904
C07663|CAR766
C07623|CLS762
52610|ZL177
52601|VR260
52510|ZL178
52463|VR246
52334|LS233
52110|AM406
50995|RA099
50784|RA078
50385|LS038
50324|RA032
50302|RM030
50281|RM028
19515|AT951
19494|AT949
19396|AT939
19125|TA912
19124|TA912
18945|AN894
18694|AN869
17704|AN770
17089|FN708
16927|FN692
C04099|CAR633
C02193|CCO219
C01713|CSA171
C01409|CVA068
C00039|CSA418
B59525|BRM952
50241|VR024
49654|RO965
49643|RS964
49509|FS950
49184|RC918
48561|RV856
47669|FS766
16418|FN641
15666|AN566
15157|FN515
15058|FN505
B57472|BLS747
B56172|BRM617
B50142|BVR014
B43528|BRS352
47388|FS738
47298|FS729
47137|FS713
47119|FS711
46598|FS659
14759|FN475
14718|FN471
14697|FN469
14588|FN458
14318|FN431
14089|FN408
13908|FN390
13607|FN360
U64735|UPM473
U64731|UPM473
U64506|UTE450
U64497|UHP578
U57293|URM729
U64366|UHH676
U64364|UHH676
U64194|UCC419
U64137|UZL104
U64124|UDN035
U63992|UTL399
U63986|UHF255
U63958|XZV141
U63862|XZU038
U63805|UPM380
U63604|XZU041
U57145|UHI061
U62891|UGE763
U62840|UAM601
U62830|UAM601
U62814|UPA281
U62724|UTE272
U62702|UCC270
U62677|UCC267
U62674|UCC267
U62673|UCC267
U57089|XZE126
U65445|UPA544
U65444|UPA544
U65435|UPA543
U65229|UZO052
U65211|UPM521
U65170|UZL109
U65054|UCI505
U64971|UPM497
U57052|UVR705
U57048|UVR704
U62634|UCC263
U62424|UCC242
U62288|NI
U62150|UAM167
U62052|UPM205
U62020|UZB219
U61921|UGC906
U61638|XZM508
U61568|UZU106
